archiefbeschrijvingURI,handleURI,imageOriginal,beschrijving,toelichting,titelFotoserie
https://archief.nl/id/beschrijving/011aa488-45f3-3e19-ca5b-d705c2b7095d,http://hdl.handle.net/10648/011aa488-45f3-3e19-ca5b-d705c2b7095d,https://service.archief.nl/gaf/api/file/v1/original/5fc03355-9052-41bb-9176-c26253753563,Reksosari: De vijf-en-twintigponders van 2-2 RVA staan in stelling. Het eten word per keukenwagen aangevoerd. Soldaat Boogaart uit Schiedam laat het zich smaken,"\""Niet gepubliceerd\""",[DLC] Zuiveringsacties II-2 RVA bij Salatiga
https://archief.nl/id/beschrijving/025f60af-d6ac-0ca5-3780-9fafeeb5e44d,http://hdl.handle.net/10648/025f60af-d6ac-0ca5-3780-9fafeeb5e44d,https://service.archief.nl/gaf/api/file/v1/original/6ec991bc-552f-45b6-8b9c-5b7571557d88,"Batavia: Op 22 oktober werd te Batavia de res. majoor der Infanterie G. Londo door Luit. Kol. Kersjes het Bronzen Kruis uitgereikt, hem toegekend voor zijn moedig gedrag in de oorlogsdagen van Mei 1940",Londo had gevochten op de Grebbeberg,"[DLC] Beëdiging 2e luitenants C.J. Spinhoven en F.H. ten Velthuis, 4-9 R.I en onderscheiding res. Majoor Londo door luit.-kol. Kersjes op het Burg. Bisschopsplein Batavia"
https://archief.nl/id/beschrijving/037a5f50-fee8-ad9c-fc33-1a44b08f2220,http://hdl.handle.net/10648/037a5f50-fee8-ad9c-fc33-1a44b08f2220,https://service.archief.nl/gaf/api/file/v1/original/6fe901bf-d07c-4b52-97c5-48137a33f062,"Bringin: Gezondheidszorg in de bevrijde gebieden. Kapt. dr. Cordesius uit Den Haag heeft met zijn helpers te Bringin (nabij Salatiga) een polikliniek geopend van waaruit de schoolgaande jeugd aan een grondig medisch onderzoek wordt onderworpen. De kinderen worden door de dokter op school onderzocht, terwijl soldaat Markus uit Dokkum, een van zijn helpers, de gegevens noteert",,[DLC] Opbouw Volksgezondheid te Bringin bij Salatiga
https://archief.nl/id/beschrijving/046fb514-f7ba-556b-d0e5-98e55c927678,http://hdl.handle.net/10648/046fb514-f7ba-556b-d0e5-98e55c927678,https://service.archief.nl/gaf/api/file/v1/original/caa8fbac-7901-47f4-baa2-a25064184f0b,"Een op een mijn gelopen carrier wordt door de takelwagen, de z.g. \""break down\"" naar de herstelwerkplaats gebracht",,[DLC] I Veldartillerie KNIL; bergingswerk Piet Abtman; 5e Veldgenie Cie Semarang
https://archief.nl/id/beschrijving/051808f5-405d-240d-22f9-3f91a1baa46d,http://hdl.handle.net/10648/051808f5-405d-240d-22f9-3f91a1baa46d,https://service.archief.nl/gaf/api/file/v1/original/cbf50180-ce17-4fd5-8365-fe066ed50f98,"Soeroeh: De bevolking van kampong Soeroeh is teruggekeerd temidden van de zwartgeblakerde ruines, welke de TNI van het dorp heeft overgelaten",,[DLC] Zuiveringsacties II-2 RVA bij Salatiga
https://archief.nl/id/beschrijving/0664d4bc-53d4-69d3-c6e6-7d28d96fd67e,http://hdl.handle.net/10648/0664d4bc-53d4-69d3-c6e6-7d28d96fd67e,,Welfare trein. Toeschouwers station Waroe,,
https://archief.nl/id/beschrijving/084e7b19-7277-cb75-0a8c-6f6813222d20,http://hdl.handle.net/10648/084e7b19-7277-cb75-0a8c-6f6813222d20,https://service.archief.nl/gaf/api/file/v1/original/3754318a-9ba6-4355-97eb-6df9e7bfcae2,Medan: Twaalfduizend Chinezen hielden op 4 september in Medan een felle demonstratie tegen de wandaden door de Republiek tegen het Chinese volksdeel bedreven. Een groep weduwnaren wier families door de TNI werden uitgemoord,,[DLC] Anti- republikeinse demonstratie te Medan (reproducties)
https://archief.nl/id/beschrijving/09737ccf-6dd5-c95b-70e4-3f99bc05b82a,http://hdl.handle.net/10648/09737ccf-6dd5-c95b-70e4-3f99bc05b82a,https://service.archief.nl/gaf/api/file/v1/original/433723c3-5b57-4f68-8ce3-cae9a1cffabc,Tangerang: Een vijftien ponder van de Veldartillerie KNIL wordt in stelling gebracht,"\""Niet publiceren\""",[DLC] Zuiveringsacties II-2 RVA bij Salatiga
https://archief.nl/id/beschrijving/0a5bda09-939c-82f9-2500-b46e272c5b3d,http://hdl.handle.net/10648/0a5bda09-939c-82f9-2500-b46e272c5b3d,https://service.archief.nl/gaf/api/file/v1/original/55b727aa-7f7c-4c7a-b14a-256fe1af99de,"III,. Een voorlopig overbrugde kleine coupure",,
https://archief.nl/id/beschrijving/0af1ed5f-954f-8313-7822-195f94f1bb71,http://hdl.handle.net/10648/0af1ed5f-954f-8313-7822-195f94f1bb71,https://service.archief.nl/gaf/api/file/v1/original/ca39a027-4f59-482c-a0bc-21d2d6cbfb65,[Geen bijschrift],Een groep kampongbewoners rond een vrachtwagen waaruit waarschijnlijk voedsel wordt uitgedeeld,[DLC] Madoera
https://archief.nl/id/beschrijving/0b992ac7-68d1-a066-e446-c4c80bf72478,http://hdl.handle.net/10648/0b992ac7-68d1-a066-e446-c4c80bf72478,https://service.archief.nl/gaf/api/file/v1/original/cac00ef3-f424-487e-8d73-d48ae36eceaf,Batavia: Op 22 oktober werden te Batavia de tlts. C.J. Spinhoven en F.H. ten Velthuis door de Lt.-Kol. Kersjes beëedigd. De eedaflegging,,"[DLC] Beëdiging 2e luitenants C.J. Spinhoven en F.H. ten Velthuis, 4-9 R.I en onderscheiding res. Majoor Londo door luit.-kol. Kersjes op het Burg. Bisschopsplein Batavia"
https://archief.nl/id/beschrijving/0bd55614-1d7b-3a57-3a2e-0667a746bd47,http://hdl.handle.net/10648/0bd55614-1d7b-3a57-3a2e-0667a746bd47,https://service.archief.nl/gaf/api/file/v1/original/44a79d83-f535-422f-822d-d5aee0439cd8,"Bij de T-Brigade vond op 17 september een dubbele plechtigheid plaats. De Luit. Hooye werd beëdigd terwijl de 1st Luit. P. Reybroek uit Renkum, de Medal of Freedom ontving voor zijn hulp aan geallieerde piloten tijdens de bezetting in Nederland. Overste Tijman spreekt Luit. Reybroek toe",,[DLC] Generaal De Waal bezoekt de T-Brigade
https://archief.nl/id/beschrijving/0c96551a-77e2-4ad5-23fd-b32ae35565c9,http://hdl.handle.net/10648/0c96551a-77e2-4ad5-23fd-b32ae35565c9,https://service.archief.nl/gaf/api/file/v1/original/27f5cb39-cb50-43ba-9c73-c6aa7fde8091,Salatiga: Donderdag 18 september werd Tawiroren van Kampong Ngasinan met nog twee andere kampongbewoners door 8 TNI-soldaten ontvoerd naar het Republikeinse gebied. Hij werd daar ondervraagd omtrent samenwerking met de Nederlanders en mishandeld. Zijn twee lotgenoten werden gedood terwijl hij zelf wist te ontkomen naar het bevrijde gebied,,[DLC] Salatiga; mishandelde man met gezin
https://archief.nl/id/beschrijving/0d94f980-be46-ea44-a54a-16d22dd51a75,http://hdl.handle.net/10648/0d94f980-be46-ea44-a54a-16d22dd51a75,https://service.archief.nl/gaf/api/file/v1/original/5d60e052-9122-4e3f-9b9c-d6c23bda306a,[Parade van militairen. Troepen staan aangetreden op een excercitieterrein],,
https://archief.nl/id/beschrijving/0d96a75b-0052-2d7c-ee65-a0b7a2e765e6,http://hdl.handle.net/10648/0d96a75b-0052-2d7c-ee65-a0b7a2e765e6,https://service.archief.nl/gaf/api/file/v1/original/a881acc0-9046-4ff8-97b5-ef88bffd8824,"Salatiga: Op de verjaardag van koningin Wilhelmina werd te Salatiga door troepen van de T-Brigade een parade gehouden voor hun commandant Kol. D.R.A.. van Langen en de Recomba, ass. res. E. Stok",,[DLC] Reportage “T” Brigade; patrouille en sportfeest
https://archief.nl/id/beschrijving/0dc18ccb-794a-baa4-efa2-1bcfa81a5ff4,http://hdl.handle.net/10648/0dc18ccb-794a-baa4-efa2-1bcfa81a5ff4,https://service.archief.nl/gaf/api/file/v1/original/a5aa14ae-564e-4437-9b34-fee8f222eb3d,Republikeins geld dat op Sumatra in omloop geweest is. Het werd vervaardigd op een stencilmachine. Biljet van 25 miljoen roepiah,"Met de aantekening \""n.p\"" (niet publiceren)",
https://archief.nl/id/beschrijving/0dd999a0-5f4e-8ad9-3504-188d8ca78599,http://hdl.handle.net/10648/0dd999a0-5f4e-8ad9-3504-188d8ca78599,https://service.archief.nl/gaf/api/file/v1/original/3103429a-aefc-434b-a441-653787ee52a3,"Bangil (bij Pasoeroean): Ook hier verliep de evacuatie van TNI. troepen vlot. De koks van 4-5 RI. voorzagen hen van eten, waarna per truck de reis werd voortgezet.",,[DLC] Evacuatie T.N.I van Bangil naar Malang
